Review,Stars
"Everything with them is 24 to 48 hours and even then they don’t reach out and tell you your phone blocked them. Their number is not blocked and my spam blocker was never on. After 11 days of practically begging someone to help me I cancelled the Uconnect service, which by the way, they can do immediately and because “they bill monthly” I had to pay for the 11 days I did not have use of the service.",1.0
"So I went in to replace the hose radiator outlet 2 weeks ago on my compass tailhawk and still no part is available. If you're going to create a part made specifically for Jeep then at least have the decency to have the part available. They had to know this would happen because they used plastic for a part next to the engine which, of course, is going to melt. I've been a Jeep lover for my whole life and now will probably never purchase again because they no longer keep the customers in mind, it's all about how to create $ for the company. Let's create a part that can't be purchased by any other manufacturer and not make enough inventory for the part.
      This must be an ongoing problem because it's gonna be a month until the part will be ready. How do they expect people to function or be able to go to work; when that is the only means of transportation they have? If you're curious the part number is **. Also, every garage I ever took my Jeep to said that Ford and Jeep are what keep them all in business because of all the problems that arise. I stopped going to the dealership service center years ago because I never had a good experience. I've been to over 7 in different states and same results so something internally needs to be fixed. This was my 3rd and last Jeep I will ever purchase. Do better!",1.0
"I was so excited to buy a Jeep but turns out it is the worst decision I have ever made. Between Jeep, Jeep Customer Care, and Preston's (Dealership & Service) the experience has been nothing but a frustrating headache! Bought a brand-new Jeep and it is still under warranty, all work and upkeep has been done by the jeep certified dealership, had been taking it back to the dealership for months on months telling them there is something wrong with it, motor was ticking, was bogging down, and screen going haywire. After 8-9 months of back and forth and many appointments and tests they say my motor is blown, it is burning through oil, a new vehicle with 26,000 miles on it. Jeep and the dealership have no answers just excuses. Customer Care is ridiculous, it has been over 2 months and no fix or response, and just a blame game between Jeep and the dealership and excuses.",1.0
"The 2015 Jeep Wrangler Willy I purchased is a piece of junk and have had nothing but problems since purchasing it a year ago. I've wanted a Wrangler my entire life. I finally was in a place in my life to afford one and I'm really regretting it now and have deep resentments in which I am most disappointed and full of rage. Jeeps are supposed to be long-lasting, reliable, and dependable. I have had constant problems. I know the vehicle had 107,500 miles on it when I purchased it but Jeeps are supposed to last 200k miles with their engine no problem. I know used vehicles are going to require maintenance and upkeep, but Jeeps have a high resale value and when you purchase one that is 7-8 years old and for $23k, you expect it to last longer and not end with you regretting it I could have afforded a brand new one by now with how much I've spend out of pocket. 
      The only thing I see major in the carfax was a radiator replacement. Since I've had the car, the right turn signal doesn't work properly and the abs light came on. I had to replace the rear hub assembly within the first month of having the car due to it being a sensor and having to replace it to fix it which cost $500. I didn't bother spending almost $200 to fix the blinker. I've had the oxygen sensor replaced twice. I've had the thermostat housing replaced as well as the thermostat. The fan has run super loud and had to have the coolant burped. The Oil Filer Housing was replaced on 1/23/23. I've been dealing with overheating for all of 2023. I moved to NV from NC 4 weeks ago and drove 2k miles. It overheated the entire way there. I was not able to use cruise control, I had to keep it under 70 mph. I stopped at Firestone complete repair and they replaced the radiator cap because they said the coolant was overflowing into the overflow tank and I needed a new engine because it would just be a matter of time before a hose or head gasket blew. I BARELY made it to NV just past the Hoover Dam and my Jeep stopped climbing. I had to pull over, blast the heat, roll down the windows, and put my hazards on going 30 mph until I hit a hotel in Henderson on 7/4. It was over 100 degrees and had my dog with me. This vehicle has put our lives in danger for 4 days and probably countless other times. My Jeep has been sitting at Jim Marsh Chrysler Jeep in North Las Vegas since 7/12. They did not return my calls, texts, or emails. I had to physically stop in there with a rental car (which I paid for out of pocket) to find out what was going on. They still had no answers for me on 7/21 and said they see this problem all the time with these Jeeps and overheating, radiators, and cooling issues. I can't believe Jeep continues to let this be a problem and disregards the face. I've found multiple forums of Jeep owners complaining about these issues (even practically brand new). I am probably going to advise everyone against buying Jeep/Chrysler and should have gone for a Bronco instead. This was a HUGE mistake buying Jeep. The dealership FINALLY notified me on 7/27 that I needed a new cylinder head and that my Route 66 warranty was not going to cover it. Instead, the warranty will cover a head gasket and labor and Orville at Jim Marsh Chrysler Jeep said he has never not seen this covered (even the most basic of warranties). I called my credit union who finances my load and who sold me the extended warranty (4 years) and informed her of my poor experience with them and that they haven't covered anything since I've had this piece of junk. Jim Marsh says the repairs total $6,755.06. The extended warranty is covering $2,747.80 and after some kind of sad discount, I owe $4,007.26. I cannot and will not pay this as I simply cannot afford it and why would I pay this much when this vehicle is guaranteed to have continuous problems after this. It is a money pit and the biggest loss I can remember. I had to put my dog down last weekend unexpectedly after hospitalizing it for 3 days (the only companion I had in my new state). I had to start a Gofundme to help pay for the medical bills and euthanasia. I can't grieve properly because I'm so full of anger and frustration dealing with my vehicle that has caused incredible pain and suffering (financially, physically, mentally). The moving company I hired still hasn't brought my belongings and it's been over a month. I am a single man doing the best I can and I maxed out all my credit cards and this is probably the second lowest point of my life. I hope no one has to know what this feels like...to have to deal with these matters after losing my dog and being in a new place and not knowing anyone. I simply do not have the energy, finances, or mentality to keep fighting these fights and am ready to give up. Maybe I can hire a lawyer one day when I can afford it and make up for these losses in my life. I feel so betrayed by a company I once fantasized and dreamed about. Jeep still hasn’t responded to my claim and it’s been 2 weeks. They do not care about their customers or providing a satisfactory product.",1.0
"I’m a mail carrier from the Dakotas.. so I purchased a RHD Jeep Wrangler in 2021. A year later I had a manufacturing issue and now again. Not only are they trying to take 4 weeks to fix it, but they’re not helpful with a rental either. BOTH issues are manufacturing issues and not ONE person cares. Jeeps are cool.. but they don’t back them up or help their customers. Garbage.",1.0
"My name is Deborah. I purchased a 22 Compass in February with 3000 miles on it. I totally fell in love with this vehicle, it ran like a dream as new vehicles should. At 5000 miles, the engine started running rough and the transmission started shifting hard. I took it to a dealership per the recommendation of Jeep customer service who opened a case and said it had to be checked by a certified Chrysler technician who then checked it out and they did a software update to fix a shifting problem between gears 1 and 2. When asked why as an owner I had not been notified of this software update, they told me that the only way to find out there is a software update is when you take it to a dealership for something else.
      After the return of my Jeep, the transmission shifting became worse. When I returned to the dealership the same day, a technician rode with me and felt the issue I had been discussing. During the week that my Jeep was at the dealership multiple technicians drove it and felt the issue with the transmission. I received a written statement when I again picked up my Jeep with the same exact issues. The dealership returned it stating nothing was wrong with it because it showed no code. The Jeep customer service closed the case.Within a week, the transmission became worse. I called Jeep customer service again and opened a new case and was told to take it to another dealership for diagnosis. I did take it to another dealership per suggestion. They had it for less than 24 hours and drove it approximately 2 miles, according to my odometer. While picking up my Jeep, they told me the Jeep was fine as there was no code showing and transmissions were different now than they were years ago, and the problem was that the transmission was trying to learn how I drive. Um, I have had the vehicle since February, it would know how I drive. I again called Jeep customer service who said they would push the issue to the Jeep technician. I received an email stating they had closed the case as the vehicle was not at the dealership.As the issue worsened, I called Jeep customer service again and was told it had been checked multiple times with no code showing there was nothing they could do. I then mentioned contacting a Lemon Lawyer, and suddenly, I was told to take it back to the dealership and have them open a STAR case. I called the dealership to make an appointment. When the dealership was able to get my Jeep in for service again, I told them it was recommended by Jeep to open a STAR case. I called multiple times to check on the work's progress. I was told every time that communicating with Jeep and a STAR case was very slow because they communicate by email. The dealership had my Jeep for a month. I received a call from the service manager saying he needed me to come and drive the vehicle so he could feel what I was talking about. I stopped by to drive the Jeep, while stopping the first time, the Jeep Jerked while downshifting. His explanation was the auto start/stop, which I turned off as I do not like it. The second time I had a problem with the shifting was taking off to accelerate. His explanation was that sometimes when stopping, the vehicle does not know which gear to be in, so it will jerk. At the time, I was accelerating not slowing down. At this point, I just told them to close the ticket and give me the Jeep back as they were not interested in trying to fix the problem. When checking out, I was told by the customer service technician that they had worked on my Jeep for about an hour. They had my Jeep for a month and worked on it for an hour. Unacceptable.I cannot take this back to the dealership I purchased it from because it has a mechanical issue, so I am stuck with a vehicle that is still running rough and a transmission that continues to shift hard. What do I do? Wait for it to die? Wait for it to stop while I am driving? This is a safety issue. Jeep customer service is blowing me off. I am looking for a Lemon Law Lawyer to help me. If Jeep does not help me with my Jeep, I will find someone who will.",1.0
"I leased my 2023 Jeep Grand Cherokee in October 2022. Not long after I noticed the Auto-Stop feature did not work. In the beginning I had to flood the brake as hard as possible to get it to work sometimes. After a very short time of having it just stopped working in its entirety. I made an appointment with Jeep to get it checked out. I dropped off the car and was informed there was a fuse that had to be replaced and that may have been the reason it was not working. I picked up my vehicle and as I drove home I noticed the feature was not working. I called Jeep again and brought it back in on a different date. This visit was less satisfying because they just told me nothing could be done because they were not getting any codes from their machine.
      I was so disappointed because I invested in this vehicle to have all the feature that it came with. Fast forward to about one month ago when I came to my car after a long day of work to find out my car was completely dead. Only after a few hours and many attempts to boost it finally turned on. The next morning I woke up to go to work and my car was completely dead again, I had to get another boost. I decided to take it to the Jeep dealer service not to far from my house in hopes I could get an answer as to why my brand new car was doing this. They said they couldn’t help same day and would have to leave my car there until they could check it out. I took a cab to drop my child off and then another cab to work.I got a call two days later that both batteries had to be replaced on my brand new car with approximately 3000 miles. After picking up my vehicle as I was driving all the the sensors on the dashboard started to pop up on the pop every two minutes including the emergency brake light and check engine light. I was freaking out because imagine driving a vehicle with all these sensor alerts on the highway with your child. I contacted the service person via email and send him a picture of what was happening. He encouraged me to bring it in that it wasn’t normal to do that. I took it back and they said about 30 codes pop up and a fuse had to be replaced. I pick up my car the next few days and the issue was still happening.I take the vehicle again and they were saying no codes were going up and without that there’s nothing that can be done. I explained how unsafe this was and that as a customer this was unacceptable. My car has been back and forth to get serviced all month. I am extremely disappointed. I wish I never decided on the brand Jeep. It seems to be unsafe and when things are failing doesn’t seem like servicing it would help with “no codes” come up in their computer. I would like to know what can be done about this and the safety and peace of mind of consumers who invest in this product.",1.0
"AVOID THIS DEALERSHIP AT ALL COST. The Director of Sales Michael ** is the most disrespectful, rude, condescending and homophobic customer service person we have ever had to deal with. Jeep should be ashamed to be represented by this type of person. This was the worst possible car sales and customer service experience we have ever had. We bought a new car on a Saturday and on Sunday when we noticed the alignment was off we brought it back to be serviced. It was serviced and in less than a week we had the same problem again. We brought it back to be serviced a second time and again in less than a week the alignment was off. In addition to that, every single warning light possible would come on randomly when driving the car. 
      At this point we contacted the Director of Sales Michael ** and told him we wanted a different car. We were told that he would look into the matter and get us out of the car and into another one. Later that day we were contacted by our salesman Tyler ** who told us he was asked to have us come in so we could pick another car on the lot and that they were going to work out the same deal even if it was at a loss for the dealership in order to make us happy and to make up for all of the inconveniences and problems we’ve had with the car. We went into the dealership on Friday and were told by the Director of Sales Michael ** that we had to wait until Monday so that he could have his service technician look at the car and get us into a loaner while also telling us that the car he could get us into was not on the lot. Not only were we lied to and manipulated, but we were also disrespected for being gay. The Director of Sales Michael ** was extremely rude and inappropriate in his interactions with us. To the point where he dismissed us by telling us he was going to contact Chrysler and undo the sale of the car. Apparently if it wasn’t this defective car, they were not interested in selling us a car. A car that initially they were very aggressive in getting us to purchase. We are now left without a car and having wasted almost a month in dealing with a car that should have never been sold.",1.0
"We purchased a new Right Hand Drive Jeep Wrangler in February 2021 (Chief blue) and a second in September of 2021 (Granite Crystal gray). In November of 2022, the wheel speed sensor went in the gray one. It is now March of 2023, and Jeep still doesn't have the part and has no date that the part will be in. This has put this Jeep with less than 50,000 miles on it out of commission! Jeep has done nothing but offer placating replies with absolutely no results! The lack of speed sense causes the Jeep to have no traction control, ABS, 4-wheel drive, cruise control, electronic stabilizer and the check engine light is on. We live in New York and it is winter sp this 2021 Jeep is worthless! I am beyond frustrated that a company as large as Jeep has done absolutely nothing to resolve this situation!",1.0
This vehicle was leased in April 2022 and has now been at the dealer waiting for a new motor. Jeep continues to say that they are waiting on the new engine.  This has been since October 2022 and has been in the shop longer than on the road. I have tried working with Jeep on a resolution but they continue to drag their feet. I requested a buyback and they said that it may cost a fee to do so. Not sure how it works but it would be nice if this company would stand up for their product and hold themselves responsible for poor quality.,1.0
