text,stars,date,vehicle
"I special ordered my car , waited patiently for 4 months I finally get it and I should NOT HAVE ACCEPTED IT. No Macintosh stereo like I paid for NO AIR RIDE LIKE I PAID FOR. I needed a car and i loved the way it looked. I accepted it so SORRY I DID. The 2nd month I had it the radio and navigation kept making loud humming sounds and screen go black this happens about 5 x till this day it blacks out , side mirrors don’t open when I start car. Ambient lights stopped working they fixed. Next while driving a sensor fell off. Then the sway bar broke and I never went off roading , then I get stuck 11 pm at night had to get it towed to dealer a valve was bad. Even service manager said it sounds like [non-permissible content removed]. They had car for a week they fix it . The cordless phone charger heats up my phone that my phone high temp come on. Mirrors again don’t open they replace the passenger side mirror.still most times mirrors don’t open when I start car. From day one I told them I smell antifreeze heater core they say no after a yr windshield is fogging up. That’s a sign of heater core. While driving my mud flap falls off they still till this day 7 months have not replaced it an they say they ordered it. Most recent my lane assist and automatic collision not working , when I was parked in a shopping mall I was in my car parked far from anyone with air conditioning on listening to radio. My dash light makes loud sound stop on dashboard light comes on. I jump no one was near me. I bring it in they change a computer module a break sensor and they change my steering wheel. A few days later I’m driving on highway getting off the exit two cars in front of me. The front car stops dead on the exit the car in front of me breaks hard just missing him and I break hard a hair before smashing him the automatic breaking system never came on. I had a lemon law case before the automatic crash and lane assist didn’t work and I LOST MY CASE EVEN WITH ALL THOSE THINGS WRONG ,they said the car wasn’t deemed unsafe. I have voice recordings of the service manager saying the jeep is a POS that jeep should burn it. He recently said on recording him that now it is UNSAFE. I RECENTLY OPENED ANOTHER LEMON LAW CASE. I WILL BEVER EVER BUY JEEP AGAIN. NEVERRRRR",1,6/25/2023,2024 Jeep Grand Cherokee L
Auto stop engine can not be permanently disabled. They Removed the seat storage. Cargo floor is now a flimsy non attached board. In system land nav removed- must connect a eell phone via cable to use navigation ,2,12/30/2023,2023 Jeep Cherokee
"I leased a high altitude in August 2034. I did some research however after my last car was written off, I had to get something and getting a plug in hybrid quickly was an issue. I always wanted a jeep and see so many (non plug in) around I thought why not. After 2 weeks of owning it the apply CarPlay constantly cut out. Dealer said there is a wire behind the dash that needs replaced but the wire is being made so just have to wait. Okay not a huge deal. As the weather started to drop the vehicle went into a fuel and oil refresh mode. I had read about this but thought it would come back out of the mode when the engine got warm. Nope! The weather got decently warm for about two weeks in November where it should have come out of it but nothing. The change oil light came on and about a week later while driving every light in the car came on and the wipers went crazy and the car died however was stuck in “run” mode. While standing outside of the car it turned itself back on, did the weird lights thing again and shut off. After waiting a couple minutes the gas only engine came back on with the check engine light on. Took it to the dealership where it sat for a week. During the week I read in the US there is a recall. In Canada there is not so they basically flashed the computer and did the oil change. When picking it up I was told there is a dead speaker inside the front bumper (a pedestrian alert speaker) that came dead from the factory that they will order but also have no timeline. Fast forward 2 weeks later and the vehicle says it won’t go into electric mode for no reason. The fuel oil refresh came back on a day after that and now a week later, it says it needs another oil change! Im happy I leased this because brand new this vehicle was 73000 CAD and 4 months later another dealership told me its worth 51000 CAD. So much for jeeps not depreciating as much. Listen to the reviews before considering because the headaches are endless! And now I’ve got a vehicle I don’t even feel okay taking on a road trip! ",1,12/30/2023,2024 Jeep Wrangler 4xe
Car is awesome! Couldn’t be more happy with my purchase,5,12/30/2022,2024 Jeep Compass
"Bought a brand new Rubicon for my son. Fully Loaded extended warranty hybrid. Has been sitting in a repair shops for 2 months no parts available 20,000.00 KM’s on it ",1,12/30/2022,2024 Jeep Wrangler 4xe
Great Jeep!,5,12/29/2022,2022 Jeep Wrangler
"Wow, the 2023 GC L is the first jeep our family has ever owned, and I have to saw, we are pretty impressed, The one we bought is gray with the black roof. The exterior of the van has quite a classy look to it, it somehow manages to look Luxurious even on the out side and I really like it, one kind of strange thing is that ours didn't come with side steps, or mud guards, which is kind of strange, but because of the quadra lift air suspension it can lower down pretty low for ease of entering and exiting. The big 21"" rims on the summit reserve trime look really nice and they go well with the over all vehicle, the only problem with that is that they would negatively affect the ride quality a little bit. The interior is also not what you would expect from a Jeep, with tons of features and tech everywhere. The massage function in the two front seats work really well, and the McIntosh sound system is perfectly crisp, and clear, with deep bass. the ambient lighting really adds a nice touch. I also really like the big mode selector nob in the center console, it feels well built, sturdy and nice to use and looks like it would be perfectly at home in an actual high end luxury vehicle. There is also no shortage of power outlets in the jeep. There is at least 4 in the front, (2 usb c type and 2 usb a type), 4 more in the second row, and even 4 MORE in the third row. The third row is probably the best I've been in, in 3 row midsize SUV's, the leg room could be a bit better, but its livable, you even get things like slightly padded armrests back there, which might seem not very relevant, but in a third row that's like luxury. There is also some really useful tech in the jeep, like the ""fam cam"" in the rear of the cabin, so the driver can look at the 2nd and 3rd row passengers without turning around or using the rear view mirror, it would be especially useful when you have a baby back there in a car seat. The night vision camera on the front is also really useful for picking up pedestrians in the dark, and even highlights them to the driver on the screen. So far we haven't ford any issues with the build quality, like some people complained about, the material quality is also pretty good, even featuring things like real wood, which most of its competitors like the Toyota Prado, or Kia Telluride wouldn't have. The jeep also comes with something almost no other vehicles have which is a secondary screen in the dashboard for the front seat passenger. The angle of headrests on the fronts seats can also be adjusted to suit different people s posture. The Grand Cherokee we got came with the base 3.6L Petron V6, and from what I heard about it I expected it to be dead as nit, true it isn't exactly a speed demon, but the big van surely doesn't exactly feel under powered, and it actually produces quite a nice sound from the rear end. Of course it is not going to sound as good as the v8, or be as appealing, but it isn't actually that bad. Because of the quadralift air suspension system the jeep can lift up pretty high, and is surprisingly capable off-road, but I guess its a jeep, so it would have kind of have come naturally for it to be a competent off-roader.",5,12/27/2023,2024 Jeep Grand Cherokee L
"Wife loves to drive her Jeep Cherokee. She likes the backup warning system, the lane centering and the large touch console. She does not like it is missing a CD player and missing a garage door opener. Passenger seat is not powered and the back lift gate is not powered. ( Dealer tried to tell us the reason for the missing items was they would cause or have problems if the Jeep was taken off road.) Jeep Cherokee was the only SUV in the OKC metro that could be towed flat. The Latitude LUX was the better riding, and had more sedan type features, but the Trailhawk was the only one with the proper transmission. Wife does not like the passenger seat, and there are items not in the Trailhawk, but the vehicle drives well.",4,12/26/2023,2023 Jeep Cherokee
I love the size and handling of the Jeep Cherokee. It’s just the right size for me. I also love the amenities in this Jeep ,5,12/24/2021,2023 Jeep Cherokee
"Battery died and left us stranded twice. Jeep customer service is terrible. It has been in the shop more than on the road in our first six months of ownership. Buyer beware these SUVs have serious reliability issues. For $56k, you can do way better!",1,12/23/2023,2023 Jeep Grand Cherokee 4xe
Jeep has not figured out how to do an electric car. Expect frequent electric problems with long waits for parts on back order. ,1,12/23/2022,2024 Jeep Wrangler 4xe
"I purchased a used 2021 Jeep Cherokee Limited 6 months ago. Its comfortable, not too high up. and has some very useful safety features that are standard equipment. It uses 87 octane gas and I get about 24 mpg in mixed driving. Definitely get the 6 cylinder, it has plenty of power. My only cons are it has a smallish gas tank and i dislike the lane keeping assist feature. Fortunately it is easily disabled. ",5,12/20/2023,2023 Jeep Cherokee
"I previously had a 2016 X5, then a 2019 F-Pace and wanted a hybrid. I heard Jeep were not the most reliable so decided to lease a 2024 High Altitude 2024 from Simi Valley in CA. The sales team were amazing, the service was super friendly and very quick. My commute to work is around 22 miles, I installed a fast charger at my office so Mon-Fri I drive entirely on my battery. I reduced my gas bill down to one tank a month vs 4-5 that I was eating through before. My insurance also reduced which was a pleasant surprise. The High Altitude has all the extras that you'd want, electric roof, heated seats and wheel, blind spot monitoring and emergency breaks. I love the look of it with the body colored bumpers and uprated alloys. It's incredibly practical and whilst it wont blow your socks off at the lights it gets around very well. My only negatives are to do with the battery - if you go uphill it will get through your charge very quickly, obviously having a longer range would be better but I am sure that will come with time. The car drives as you would expect, I honestly think it is great fun, it's practical and cheap to run. I've done a couple of road trips in it, obviously these were on gas rather than charge, the leather seats are very comfortable and I was able to store everything I needed with ample room for more. Genuinely enjoying my Jeep experience! ",4,12/20/2023,2024 Jeep Wrangler 4xe
"Just don’t!! Custom built Wrangler Sport 2.0 Turbo in 2021. Less than 9 months and 13,500k miles in experienced shaking, loss of acceleration, and overheating. Towed and was diagnosed as engine failure. Almost 7 weeks with a loaner. Get it back from dealer and 2 months in at about 15k, loss of acceleration and shuts down. Told needs new transmission. Reach out finally to Jeep wave where I’m informed the engine was never actually replaced, only part replacements. This is NOT the experience I was looking for when I purchased a brand new Jeep. Absolute nightmare. ",1,12/19/2022,2022 Jeep Wrangler
"I bought a demo Jeep Cherokee Limited in December 2023 so there were lots of discounts for a cash buyer, over $11,000 off of MSRP in Canada. The vehicle is comfortable, has reasonable acceleration and genuine capability in bad weather. I found the uConnect system easy to use and setup and I do recommend the Sirius Guardian package for additional safety and convenience. I used some of my saving to buy the extended warranty up to 7 years. It does appear though that most of the issues with the Cherokees have been resolved. There have been no recalls on the 2022 models. I do recommend the V6 engine to avoid the oil leak issues with the 4 cylinder turbo engine. Cargo space is limited with the rear seats up and reasonable with the rear sears down. There are higher rated mid size SUVs but with the large discounts, the Jeep Cherokee Limited beat them all on value and features and the extended warranty keeps my total cost of ownership reasonable. I am a fan of HD Radio and the uConnect system does an excellent job of pulling in HD Radio stations compared to the Kenwood radio in my previous vehicle. It is a great feature if you want CD quality sound with no subscriptions. I was pleased to see that Jeep now uses both synthetic oil and synthetic automatic transmission fluid. This should improve long term durability in two keep systems. ",5,12/18/2023,2023 Jeep Cherokee
